school_server_code,ages_puzzle,astroamer_element_hunt_activity,coins_puzzle,factorisation,food_sharing_tool,ice,policesquad
2031016-mz16,67.0,0.0,67.0,67.0,67.0,0.0,5.833333333333333
2031008-mz8,0.0,3.0,0.0,0.0,116.5,0.0,50.883333333333326
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,100.14444444444443
2031005-mz5,20.0,3.0,20.0,23.0,20.0,0.0,12.308333333333332
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,67.37222222222222
2031030-mz30,20.0,0.0,20.0,0.0,20.0,0.0,2.6666666666666665
2031011-mz11,0.0,0.0,0.0,0.0,0.0,5.0,37.08333333333333
2031017-mz17,0.0,0.0,5.0,0.0,5.0,0.0,0.0
2031029-mz29,0.0,3.5,0.0,0.0,0.0,0.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2031028-mz28,0.0,0.0,0.0,0.0,2.0,0.0,0.0
