school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patters,ages_puzzle,coins_puzzle,factorisation,policesquad,Ration Patterns
3072008-rj58,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072035-rj85,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.3333333333333333,7.333333333333333,0.0,0.0
3051015-rj15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072029-rj79,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3072028-rj78,0.6666666666666666,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072044-rj94,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
3051025-rj25,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,8.166666666666666,0.0
3072026-rj76,2.0,0.0,0.0,4.0,0.0,0.0,0.3333333333333333,0.0,0.5,4.8,0.0
3072032-rj82,2.2,0.0,0.0,3.2,0.0,0.0,0.2,0.0,0.16666666666666666,4.2,0.0
3051013-rj13,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,1.25,0.0
3072022-rj72,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072002-rj52,5.333333333333333,0.0,1.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3051011-rj11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072018-rj68,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051006-rj6,5.833333333333333,2.0,0.2857142857142857,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
3072047-rj97,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0
3072034-rj84,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051014-rj14,0.5,0.0,0.0,1.3333333333333333,0.0,0.0,1.5,0.3333333333333333,1.0,0.0,3.0
3051032-rj32,0.25,0.0,0.0,7.083333333333333,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3072046-rj96,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3333333333333333,4.0,0.0,0.0
3051031-rj31,0.5,0.0,0.0,3.375,0.2857142857142857,0.0,0.375,0.0,0.3333333333333333,1.25,1.0
3072031-rj81,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,3.5,0.0,0.0
3072043-rj93,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0
3051044-rj44,0.5,0.0,0.6666666666666666,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072006-rj56,0.6666666666666666,0.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.25,0.0,0.0
3072009-rj59,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.5,2.75,0.0,0.0,0.0,0.0,1.2,2.0,0.0
3051026-rj26,1.8333333333333333,0.0,0.0,2.7142857142857144,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0
3051030-rj30,0.0,0.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051049-rj49,4.666666666666667,0.3,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0
3072033-rj83,3.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,4.666666666666667,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051036-rj36,1.75,1.0,0.5,0.0,0.0,0.0,1.0,0.6,0.8,0.0,0.0
3072023-rj73,1.8888888888888888,0.0,0.2222222222222222,0.7,0.0,0.0,0.0,0.0,0.1,2.727272727272727,0.0
3072041-rj91,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,1.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3072019-rj69,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072027-rj77,0.16666666666666666,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0
3051022-rj22,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.875,0.0
3072036-rj86,2.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051027-rj27,1.6666666666666667,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
3051004-rj4,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
3072048-rj98,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0
3051001-rj1,0.625,0.0,0.0,1.2222222222222223,0.0,0.0,0.25,0.0,0.2222222222222222,0.0,0.0
3072030-rj80,0.25,0.0,0.0,0.25,0.0,0.0,0.2,0.2,0.2,1.2,0.0
3072040-rj90,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051028-rj28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051033-rj33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
