school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
ct1,43.0,27.0,1.0,37.0,19.0,18.0,0.0,11.0,8.0,0.0,27.0,12.0,2.0,1.0,5.0
ct9,0.0,5.0,0.0,2.0,5.0,89.0,23.0,1.0,0.0,1.0,66.0,7.0,1.0,3.0,2.0
ct22,25.0,8.0,3.0,16.0,0.0,41.0,7.0,13.0,1.0,1.0,7.0,3.0,3.0,1.0,23.0
ct14,33.0,1.0,1.0,31.0,12.0,31.0,4.0,9.0,1.0,0.0,3.0,0.0,0.0,19.0,3.0
ct6,14.0,9.0,2.0,20.0,10.0,14.0,2.0,7.0,0.0,0.0,19.0,5.0,0.0,3.0,16.0
ct34,7.0,12.0,4.0,22.0,10.0,19.0,1.0,7.0,1.0,0.0,3.0,2.0,4.0,10.0,13.0
ct33,10.0,11.0,1.0,27.0,7.0,4.0,13.0,0.0,1.0,0.0,1.0,27.0,0.0,0.0,1.0
ct20,3.0,3.0,1.0,20.0,5.0,42.0,6.0,1.0,0.0,0.0,8.0,1.0,1.0,2.0,2.0
ct18,0.0,0.0,0.0,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,22.0
ct4,0.0,1.0,0.0,62.0,12.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0
ct19,0.0,0.0,0.0,1.0,1.0,63.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0
ct3,0.0,0.0,0.0,0.0,0.0,56.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct17,0.0,9.0,8.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0
ct31,0.0,8.0,0.0,10.0,5.0,2.0,3.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,2.0
ct7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct11,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct28,0.0,0.0,0.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0
ct13,4.0,4.0,0.0,0.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
