school_server_code,ages_puzzle,astroamer_element_hunt_activity,coins_puzzle,factorisation,food_sharing_tool,ice,policesquad,rationpatterns
1011001-ct1,38.666666666666664,67.25,25.2,46.25,156.5,0.0,70.49166666666666,0.0
1011011-ct11,0.0,0.0,0.0,0.0,143.0,0.0,220.92500000000004,0.0
1011018-ct18,40.0,8.0,35.333333333333336,27.75,82.66666666666667,0.0,33.53194444444444,0.0
1011024-ct24,0.0,0.0,0.0,0.0,0.0,0.0,198.50185185185185,0.0
1011009-ct9,0.0,0.0,0.0,0.0,1.0,0.0,188.4688888888889,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,185.3416666666667,0.0
-ct31,38.0,0.5,0.0,40.333333333333336,67.23809523809524,9.666666666666666,0.0,14.5
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,154.07000000000002,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,128.76904761904763,0.0
-ct33,0.0,11.0,0.0,6.0,54.0625,0.0,17.3125,0.0
1011020-ct20,0.0,0.0,0.0,0.0,0.0,0.0,71.75,0.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,64.07037037037037,0.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,25.633333333333333,0.0
1011006-ct6,0.0,20.333333333333332,0.0,0.0,3.0,0.0,0.0,0.0
1011017-ct17,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1011026-ct26,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333332,0.0
1011016-ct16,0.0,0.0,0.0,0.0,8.0,0.0,1.1833333333333331,0.0
1011010-ct10,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
1011004-ct4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
-ct34,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1011008-ct8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011005-ct5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
