school_server_code,AstRoamer_Element_Hunt_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4231036-tg136,18.28333333333333,22.522916666666667,23.487499999999997,20.293333333333333,9.341666666666667,0.0,10.071666666666665,21.72345679012346
4202083-tg283,0.0,11.433333333333334,2.1333333333333333,3.85,13.783333333333333,13.783333333333333,2.0583333333333336,22.0
4122100-tg300,4.458333333333333,9.012820512820513,20.875,4.8,3.8024999999999998,5.268518518518518,3.1706214689265533,12.80111111111111
4192081-tg281,6.55,5.989351851851852,8.114814814814814,0.0,12.466666666666665,8.316666666666666,10.158333333333333,0.0
4231084-tg184,0.0,0.0,0.0,0.0,18.07857142857143,18.1,15.233333333333333,0.0
4152012-tg212,0.0,0.0,0.0,0.0,14.233333333333333,14.233333333333333,14.233333333333333,0.0
4202034-tg234,0.0,7.677499999999999,2.8314814814814815,6.125,5.533333333333333,1.2861111111111112,2.6743589743589737,0.0
4202059-tg259,0.0,15.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
4152072-tg272,0.0,5.35,0.0,0.0,0.0,0.0,0.0,4.822222222222222
4202004-tg204,0.0,0.0,0.0,0.0,2.780952380952381,4.3,1.5305555555555552,0.0
4183023-tg23,0.0,5.216666666666667,0.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,4.066666666666666,0.0,0.0,0.0,0.0,0.0
4202003-tg203,0.0,0.0,0.0,0.0,1.5041666666666667,0.0,1.925,0.0
4152031-tg231,0.21904761904761907,2.2624999999999993,0.0,0.0,0.016666666666666666,0.0,0.5111111111111112,0.0
4152017-tg217,0.0,0.0,0.0,0.0,1.4666666666666666,0.0,0.3888888888888889,0.0
4231029-tg129,0.0,1.7166666666666666,0.0,0.0,0.0,0.0,0.0,0.0
4141008-tg108,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
4152035-tg235,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,0.0
4152041-tg241,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.0
