school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,8,25,8,7,31,8,69,13,1,9
4122100-tg300,4,34,18,4,20,19,23,9,0,0
4202034-tg234,5,15,7,14,20,11,0,4,0,2
4152031-tg231,2,11,8,3,10,6,17,13,0,0
3051032-rj32,1,9,8,0,17,8,12,3,0,0
4141009-tg109,1,5,1,1,7,4,27,1,0,0
4231058-tg158,2,7,4,1,13,3,3,10,1,0
4152038-tg238,1,5,4,3,14,2,5,5,0,0
1011009-ct9,0,0,0,0,2,0,36,0,0,0
1011020-ct20,0,0,2,0,2,2,23,2,0,0
1011018-ct18,0,4,3,0,3,2,12,4,0,1
3051002-rj2,0,5,3,0,9,2,0,8,0,2
1011001-ct1,0,4,5,0,4,3,4,8,0,0
3051031-rj31,1,4,0,2,11,1,3,5,0,0
4152012-tg212,0,10,1,0,6,2,1,6,1,0
4192081-tg281,3,4,1,0,11,3,0,4,0,0
4173074-tg74,4,3,1,2,2,2,3,4,1,1
2031009-mz9,0,1,2,1,6,2,5,3,0,1
4202004-tg204,0,4,1,0,3,5,5,2,0,0
3072026-rj76,0,3,1,0,9,3,3,1,0,0
3072032-rj82,2,3,0,0,7,1,1,6,0,0
1011019-ct19,0,0,0,0,1,1,17,0,0,0
4152092-tg292,1,5,1,0,3,2,4,2,0,0
4173079-tg79,0,1,1,1,4,2,2,4,0,0
3051026-rj26,0,3,0,0,5,0,2,2,1,2
1011006-ct6,0,1,0,0,1,0,1,8,1,2
3072024-rj74,0,1,0,1,2,0,6,4,0,0
3051036-rj36,0,2,2,0,4,1,0,2,1,2
3072023-rj73,0,1,0,0,3,0,4,4,0,1
3051050-rj50,0,0,0,0,6,0,2,4,0,0
3051005-rj5,0,2,0,0,5,3,1,0,0,0
4202003-tg203,0,5,2,0,0,4,0,0,0,0
4231082-tg182,1,2,0,1,2,2,0,3,0,0
4221067-tg167,2,0,0,1,5,0,0,3,0,0
3051001-rj1,0,2,0,0,4,1,0,4,0,0
4152072-tg272,0,1,1,0,2,1,5,1,0,0
3051049-rj49,0,1,0,0,1,0,1,5,1,1
4231064-tg164,0,2,2,2,1,1,2,0,0,0
3051006-rj6,0,0,0,0,2,0,1,5,1,1
3072030-rj80,0,1,1,0,2,1,3,2,0,0
3072008-rj58,0,1,1,0,3,0,0,5,0,0
2031030-mz30,0,0,1,0,3,1,5,0,0,0
4141008-tg108,1,1,0,1,3,0,3,1,0,0
1011011-ct11,0,0,0,0,2,0,8,0,0,0
1011024-ct24,0,0,0,0,1,0,9,0,0,0
3051023-rj23,0,2,0,1,3,2,1,1,0,0
3072006-rj56,0,1,0,1,3,1,2,1,0,0
3072048-rj98,0,2,2,0,3,1,0,1,0,0
4231046-tg146,2,2,0,0,1,4,0,0,0,0
3051022-rj22,0,1,0,0,0,0,4,4,0,0
