school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2041001-mz44,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2041002-mz45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041003-mz46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041008-mz51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041011-mz54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041015-mz58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051001-mz88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051005-mz92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051006-mz93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051009-mz96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
